ChainName,PrimaryCategory
Fresh to Order,Restaurant - Fast Casual
FreshBerryUSA,Restaurant - Bakery/Desserts
FreshCo,Grocery
Freshii,Restaurant - QSR/Fast Food
Freshly Squeezed,Restaurant - Juice Bars
Freshmart,Grocery
Freshslice Pizza,Restaurant - QSR/Fast Food
Freshëns,Restaurant - Juice Bars
Freson Brothers,Grocery
"Friar Tux ",Clothing - Mens
"Fricker's",Restaurant - Casual
Fridley Theatres,Theatres
Friendly Dental Group,Dental
Friendly Grocer Supermarkets Australia,Grocery
"Friendly's Ice Cream",Restaurant - Bakery/Desserts
Frisby Colombia,Restaurant - QSR/Fast Food
"Frisch's Big Boy",Restaurant - Casual
FroZenYo,Restaurant - Bakery/Desserts
Froiz,Grocery
Fromm Family Pet Food,Pet Stores + Supplies
Frontier Management,Misc. Health Supplies + Services
Froots,Restaurant - Juice Bars
Frost Bank,Banks + Financial Services
Frost Gelato,Restaurant - Bakery/Desserts
Frothy Monkey,Restaurant - Casual
Froyo Premium Frozen Yogurt,Restaurant - Bakery/Desserts
FroyoWorld,Restaurant - Bakery/Desserts
Fruiterie 440,Grocery
Fruitful Yield,Grocery
Fruth Pharmacy,Drug Stores + Pharmacies
Frutta Bowls,Restaurant - Fast Casual
Fry the Coop,Restaurant - Fast Casual
"Fry's Electronics",Computers + Consumer Electronics
"Fry's Food & Drug Stores",Grocery
Frye,Footwear
Fuddruckers,Restaurant - Casual
Full House Sales & Lease,Furnishing Rentals
Full Moon BBQ,Restaurant - Fast Casual
Fullers Carwash,Car Wash
Fulton Bank,Banks + Financial Services
Fulton Bank of New Jersey,Banks + Financial Services
Fun City,Amusement
Fun Factory,Amusement
Furla,Jewelry
Furniture City,Furnishings
Furniture Fair,Furnishings
Furniture Row,Furnishings
"Furr's Fresh Buffet",Restaurant - Casual
Fusian,Restaurant - Fast Casual
Fusion Academy,"Schools, Tutoring, + Education"
Fusion Stone,Home Improvement + Building Supplies
Future Fitness Centers,Gyms + Fitness Facilities
Fuzzy Peach Frozen Yogurt,Restaurant - Bakery/Desserts
"Fuzzy's Taco",Restaurant - Fast Casual
Fyzical,Physical Therapy + Rehabilitation
"G&C Auto Body ","Auto Service, Parts, + Tires"
G&G Fitness Equipment,Sports + Recreation
G-Star Raw,Clothing - Mens
G.H. Bass and Co,Footwear
G.O.A.T. Haircuts,Hair
GAP Mexico,Clothing - Family/Unisex
GARAGE,Clothing - Womens
GATE,Gas Stations
GBT Realty,Commercial Properties
GCR Tire Centers,"Auto Service, Parts, + Tires"
GEXPRO,Agricultural and Industrial Equipment + Supplies
GIVENCHY,Clothing - Family/Unisex
GLOSSLAB,"Spa, Massage, + Esthetics"
GM (General Motors) Canada,New/Used Car Dealers
GMC (General Motors Company),New/Used Car Dealers
GMC (General Motors Company) Service Department,"Auto Service, Parts, + Tires"
"GMR Transcription Services, Inc",Staffing/Employment
GNC (General Nutrition Centers),"Vitamins, Nutrition, and Supplements"
GNC Canada (General Nutrition Centers),"Vitamins, Nutrition, and Supplements"
GOLFTEC,Sports + Recreation
GPM Investments,Gas Stations
GT Pie,Restaurant - Bakery/Desserts
GUESS,Clothing - Family/Unisex
GYMVMT,Gyms + Fitness Facilities
"Gabe's",Clothing - Family/Unisex
Gadget MD,Computers + Consumer Electronics
Gage,Cannabis Retail
Galaxy Cinemas,Theatres
Galeria Kaufhof,Department Store
Galeries Lafayette,Clothing - Womens
Galitos Chicken,Restaurant - Casual
Gallery Furniture,Furnishings
Galvanize,Shared Offices + Coworking
Game X Change,"Crafts, Toys, and Hobbies"
GameStop,"Crafts, Toys, and Hobbies"
Gander Outdoors,Sports + Recreation
Ganni,Clothing - Womens
Gap,Clothing - Family/Unisex
Garbanzo Fresh Mediterranean,Restaurant - Fast Casual
Gardant Management,Misc. Health Supplies + Services
Garden Catering,Restaurant - QSR/Fast Food
Garden Commercial Properties,Commercial Properties
Garden Fresh Market,Grocery
Gardner-White Furniture,Furnishings
Garfield?s Restaurant & Pub,Restaurant - Bar/Pub
Gas Mart,Gas Stations
Gas N Wash,Gas Stations
Gas Stop,Gas Stations
Gasser True Value Hardware,Home Improvement + Building Supplies
Gate Express Carwash,Car Wash
Gateway Tire & Service,"Auto Service, Parts, + Tires"
Gatlin Development Company,Commercial Properties
"Gator's Dockside",Restaurant - Bar/Pub
"Gatti's Pizza",Restaurant - Casual
Gaylord Resorts,Hotels
Gaynors Automotive,"Auto Service, Parts, + Tires"
Gcam Plasma,Misc. Health Supplies + Services
Gearhead Outfitters,Clothing - Family/Unisex
"Gebo's",Agricultural Feed + Seed
Geico,Insurance
Geisinger,"Hospitals, Urgent Care, + Doctors"
Geisinger Home Health & Hospice,Senior Living
Geisslers,Grocery
"Gelson's Markets",Grocery
Gemini Coatings,Home Improvement + Building Supplies
Gen Korean BBQ House,Restaurant - Casual
General Assembly,Shared Offices + Coworking
General Paint,Home Improvement + Building Supplies
General RV Center,Car + Truck Rentals
General Shale,Home Improvement + Building Supplies
Generale Optique,Optical
Generation V,Misc. Health Supplies + Services
Genesis Car Dealership,New/Used Car Dealers
Genesis Care,"Hospitals, Urgent Care, + Doctors"
Genesis Health Clubs,Gyms + Fitness Facilities
Genesis HealthCare,Senior Living
Genghis Grill,Restaurant - Fast Casual
Genji,Restaurant - QSR/Fast Food
Genoa Healthcare,"Hospitals, Urgent Care, + Doctors"
Gensco,Home Improvement + Building Supplies
Gentle Dental,Dental
George Richards Big & Tall Menswear,Clothing - Mens
George Webb Restaurants,Restaurant - Casual
Georgia Theatre Company,Theatres
Geox,Footwear
Gerber Collision,"Auto Service, Parts, + Tires"
Gerbes Super Markets,Grocery
Germantown Hardware,Home Improvement + Building Supplies
"Gerrity's Supermarkets",Grocery
Get Air Trampoline Park,Amusement
Get It Now!,Computers + Consumer Electronics
Get in Shape for Women,Gyms + Fitness Facilities
Get-n-Go,Gas Stations
GetGo Cafe + Market,Gas Stations
Ghirardelli Chocolate,Food Retail (Non-Grocers)
Giant Eagle,Grocery
Giant Food,Grocery
Giant Food Stores,Grocery
Giant Tiger,Mass Merchant
Giardino Gourmet Salads,Restaurant - QSR/Fast Food
Gift-ology,Jewelry
"Gigi's Cupcakes",Restaurant - Bakery/Desserts
Gimme A $5,Discount Stores
"Gino's East",Restaurant - Casual
"Gino's Pizza",Restaurant - QSR/Fast Food
"Gino's Pizza & Spaghetti House",Restaurant - Casual
"Giordano's",Restaurant - QSR/Fast Food
Giorgio Armani,Clothing - Womens
Giorgio Armani - Distributor Locations,Clothing - Womens
"Giovanni's Pizza",Restaurant - QSR/Fast Food
Git N Go,Convenience Store
"Giunta's Meat Farms",Grocery
Glazer,Commercial Properties
Glen-Gery,Home Improvement + Building Supplies
Glide Xpress,Car Wash
"Glik's",Clothing - Family/Unisex
Glimcher Group,Commercial Properties
Glo,Hotels
Glo Sun Spa,"Spa, Massage, + Esthetics"
Glo Tanning,"Spa, Massage, + Esthetics"
Glo30,"Spa, Massage, + Esthetics"
Global Pet Foods,Pet Stores + Supplies
Global Self Storage,Storage
"Gloria Jean's Gourmet Coffees",Restaurant - Coffee/Tea
Gloria?s Restaurant,Restaurant - Casual
Glory Days Grill,Restaurant - Casual
Glory Supermarket,Grocery
Glossier,Cosmetics + Beauty Supplies
Go Ape,Amusement
Go Auto Insurance,Insurance
Go Car Wash,Car Wash
Go Gas,Gas Stations
Go! Go! Curry! America,Restaurant - QSR/Fast Food
Go! Retail Group,"Crafts, Toys, and Hobbies"
GoHealth Urgent Care,"Hospitals, Urgent Care, + Doctors"
GoMart,Gas Stations
GoSmart Mobile,Communications
"Godfather's Pizza",Restaurant - Casual
"Godfather's Pizza Canada",Restaurant - QSR/Fast Food
Godiva,Food Retail (Non-Grocers)
"Godwin's Furniture and Mattress",Furnishings
"Goin' Postal",Shipping
"Going, Going, Gone!",Sports + Recreation
Gold Star Chili,Restaurant - QSR/Fast Food
"Gold's Gym",Gyms + Fitness Facilities
Golden Artist Paint,Home Improvement + Building Supplies
Golden Chick,Restaurant - Fast Casual
Golden Corral,Restaurant - Casual
Golden Goose,Footwear
Golden Krust Caribbean Bakery and Grill,Restaurant - Fast Casual
Golden Living Centers,Senior Living
"Golden Nozzle Car Wash ",Car Wash
Golden Nugget,Hotels
Golden Nugget Pancake,Restaurant - Casual
Golden Spoon Frozen Yogurt (Las Vegas),Restaurant - Bakery/Desserts
Golden State Storage,Storage
Goldenberg Development,Commercial Properties
Goldfish Swim School,"Schools, Tutoring, + Education"
Golf Galaxy,Sports + Recreation
Golf Town,Sports + Recreation
"Golfdom ",Sports + Recreation
Golfers Warehouse,Sports + Recreation
Gong Cha,Restaurant - Coffee/Tea
Goo-Goo 3 Minute Express Wash,Car Wash
Good Day Farm Dispensary,Cannabis Retail
Good Earth Coffeehouse,Restaurant - Coffee/Tea
Good Earth Markets,Grocery
Good Feet,Footwear
Good Neighbor Pharmacy,Drug Stores + Pharmacies
Good Neighbor Tire,"Auto Service, Parts, + Tires"
Good Samaritan Society,Misc. Health Supplies + Services
Good Times Burgers and Frozen Custard,Restaurant - QSR/Fast Food
Good To Go,Gas Stations
Good Vets,"Hospitals, Urgent Care, + Doctors"
Good Vibrations,"Crafts, Toys, and Hobbies"
GoodLife Fitness,Gyms + Fitness Facilities
Goodcents Deli Fresh Subs,Restaurant - QSR/Fast Food
Goodguys Tire,"Auto Service, Parts, + Tires"
Goodman Jewelers,Jewelry
Goodman Real Estate,Commercial Properties
Goodness Me,Grocery
Goodrich Quality Theaters,Theatres
Goodwill Industries,Used Products
Goody Goody Liquor,"Beer, Wine, + Liquor Stores"
"Goody's",Department Store
Goodyear Auto Service Centers,"Auto Service, Parts, + Tires"
Goodyear Canada,"Auto Service, Parts, + Tires"
Goodyear Commercial Tires & Service Centers,"Auto Service, Parts, + Tires"
Goodyear Tire & Rubber Co.,"Auto Service, Parts, + Tires"
Goodyear Tire & Rubber Co. - Distributor Locations,"Auto Service, Parts, + Tires"
Google Pop-Up Stores,Computers + Consumer Electronics
Goop,Cosmetics + Beauty Supplies
Gordmans,Department Store
Gordon Biersch Restaurant & Brewery,Restaurant - Casual
Gordon Food Service (GFS),Food Retail (Non-Grocers)
"Gordon's Jewelers",Jewelry
Gorsuch,Clothing - Family/Unisex
"Gott's Roadside",Restaurant - Casual
Gotta Eatta Pita,Restaurant - Fast Casual
Gourmet Garage,Grocery
Grab -N- Geaux,Convenience Store
Grabbagreen,Restaurant - Fast Casual
Grace Assisted Living,Misc. Health Supplies + Services
Grace Management Inc,Misc. Health Supplies + Services
Graceland Portable Buildings,Home Improvement + Building Supplies
Grade Power Learning,"Schools, Tutoring, + Education"
"Grady's BBQ",Restaurant - QSR/Fast Food
"Graeter's",Restaurant - Bakery/Desserts
Graff Skates,Sports + Recreation
Graham Health System,"Hospitals, Urgent Care, + Doctors"
Graham Tire,"Auto Service, Parts, + Tires"
Graham Tire & Service,"Auto Service, Parts, + Tires"
Grain and Berry,Restaurant - Bakery/Desserts
Grainger,Agricultural and Industrial Equipment + Supplies
Grainger Canada,Agricultural and Industrial Equipment + Supplies
Gramor,Commercial Properties
Grand Appliance and TV,Home + Housewares
"Grand Furniture ",Furnishings
Grand Home Furnishings,Furnishings
Grand Hyatt,Hotels
Grand Lux Cafe,Restaurant - Fine Dining
Grand Optical,Optical
Grand Rapids Ophthalmology,Optical
Grand Rental Station,Home Improvement + Building Supplies
Grand Sakwa Properties LLC,Commercial Properties
Grand Union,Grocery
"GrandOptical Czech Republic ",Optical
GrandVision Italy,Optical
Grandys,Restaurant - Casual
Grange Co-op,Agricultural and Industrial Equipment + Supplies
Grange Insurance Auto Repair Shops,"Auto Service, Parts, + Tires"
Granite City Food & Brewery,Restaurant - Bar/Pub
"Grant's Supermarket",Grocery
Grateful Green,Cannabis Retail
Grater Grilled Cheese,Restaurant - Fast Casual
"Graul's Market",Grocery
Gravity Coffee,Restaurant - Coffee/Tea
Graybar,Agricultural and Industrial Equipment + Supplies
Graze Craze,Restaurant - Fast Casual
"Graziano's Market",Grocery
Grease Monkey,"Auto Service, Parts, + Tires"
Great American Cookies,Food Retail (Non-Grocers)
Great American Home Store,Furnishings
Great Canadian Bagel,Restaurant - QSR/Fast Food
Great Canadian Dollar Store,Discount Stores
Great Canadian Oil Change,"Auto Service, Parts, + Tires"
Great Clips,Hair
Great Expressions Dental Centers,Dental
Great Harvest Bread Co.,Restaurant - Fast Casual
"Great Rooms ",Furnishing Rentals
Great Steak,Restaurant - QSR/Fast Food
Great Valu Markets,Grocery
Great Western Bank,Banks + Financial Services
Great Wolf Lodge,Amusement
Great Wraps Grill,Restaurant - QSR/Fast Food
GreatWater 360 Auto Care,"Auto Service, Parts, + Tires"
"Greater Texas Credit Union ",Banks + Financial Services
Greatwall Supermarket (GW),Grocery
Greco Pizza,Restaurant - QSR/Fast Food
Green Clean Express Auto Wash,Car Wash
Green District,Restaurant - Fast Casual
Green Dragon Cannabis,Cannabis Retail
Green Drop,Flowers
"Green Leaf's & Bananas",Restaurant - Fast Casual
Green Mill Restaurants,Restaurant - Casual
Green Valley Grocery,Convenience Store
GreenDrop,Used Products
Greenberg Dental & Orthodontic,Dental
Greens Natural Foods,Grocery
Greenwich,Restaurant - QSR/Fast Food
Greenwise Market,Grocery
"Greer's Markets",Grocery
Greggs,Restaurant - QSR/Fast Food
Gregoire Arakelian Pharmacien,Drug Stores + Pharmacies
Gregorys Coffee,Restaurant - Coffee/Tea
Greg?s Japanese Auto,"Auto Service, Parts, + Tires"
Grene Vision Group,Optical
"Greulich's Automotive Repair","Auto Service, Parts, + Tires"
Greyhound,Travel
Griffin Brothers,"Auto Service, Parts, + Tires"
Grifols Plasma,Misc. Health Supplies + Services
Grimaldi?s Pizzeria,Restaurant - Casual
"Gringo's Mexican Kitchen",Restaurant - Casual
Grismer Tire & Auto Service,"Auto Service, Parts, + Tires"
Gristedes,Grocery
Grisworld,Senior Living
"Grizzly's",Restaurant - Fine Dining
Grk Fresh,Restaurant - QSR/Fast Food
Grocery Advantage,Grocery
Grocery Outlet,Grocery
"Grossman's Bargain Outlet",Home Improvement + Building Supplies
Grotto Restaurants,Restaurant - Casual
"Groucho's Deli",Restaurant - Fast Casual
Ground Round,Convenience Store
Group 1 Automotive,New/Used Car Dealers
GrowGeneration,Agricultural and Industrial Equipment + Supplies
GrowHealthy,Cannabis Retail
Growler USA,Restaurant - Bar/Pub
Grub Kitchen and Bar,Restaurant - Fast Casual
Grub Mart,Convenience Store
Grumps Burgers,Restaurant - QSR/Fast Food
Grunt Style,Clothing - Family/Unisex
Gryo Shack,Restaurant - Fast Casual
Guac Mexi Grill,Restaurant - Fast Casual
Guacamole Mexican Street Food,Restaurant - Fast Casual
Guardian/IDA Pharmacy,Drug Stores + Pharmacies
Gucci,Clothing - Womens
GuestHouse Inn,Hotels
Guidepost Montessori,Child Care
"Guiry's",Home Improvement + Building Supplies
Guisados Tacos,Restaurant - QSR/Fast Food
Guiseppe Zanotti Design,Footwear
Guitar Center,Music
Gulf Coast Regional Blood Center,Misc. Health Supplies + Services
Gulf Oil,Gas Stations
Gumberg Asset Management,Commercial Properties
"Gus's Fried Chicken",Restaurant - QSR/Fast Food
Guthrie?s,Restaurant - Fast Casual
Guzman Y Gomez AUSTRALIA,Restaurant - QSR/Fast Food
Guzman y Gomez US,Restaurant - Fast Casual
Gym Source,Sports + Recreation
Gymboree,Clothing - Childrens
Gymboree Play and Music,Amusement
Gyro Boutique,Restaurant - Fast Casual
Gyu-Kaku Japanese BBQ,Restaurant - Casual
H Mart,Grocery
H Mart CO,Grocery
H Mart Pacific Northwest,Grocery
H&E Equipment Services,Agricultural and Industrial Equipment + Supplies
H&H Bagels,Restaurant - Bakery/Desserts
H&M,Clothing - Family/Unisex
H&R Block,Tax Services
H&R Block Canada,Tax Services
H&R REIT,Commercial Properties
H&R Retail,Commercial Properties
H-E-B,Grocery
H-E-B Convenience Store,Convenience Store
H2O Wireless,Communications
HCA (Hospital Corporation of America),"Hospitals, Urgent Care, + Doctors"
HCR ManorCare,Senior Living
HD Supply,Home Improvement + Building Supplies
HEMA,Clothing - Family/Unisex
HEW Fitness,Gyms + Fitness Facilities
HG Hill Food Stores,Grocery
HIlton LXR,Hotels
HOKA ONE ONE,Footwear
HOM Furniture,Furnishings
HOTWORX,Gyms + Fitness Facilities
HSBC Bank Canada,Banks + Financial Services
HSBC Bank USA,Banks + Financial Services
HUALUXE Hotels and Resorts,Hotels
HWY 55 Burgers Shakes and Fries,Restaurant - Fast Casual
HYBA Canada,Clothing - Family/Unisex
Haagen Dazs,Restaurant - Bakery/Desserts
"Habanero's Modern Taco Bar",Restaurant - Fast Casual
Habersham Hardware,Home Improvement + Building Supplies
Habitat for Humanity,Home Improvement + Building Supplies
Haggen,Grocery
Hai Hospitality,Restaurant Group
Hair Cuttery,Hair
Hair Excitement,Hair
Hair Inc.,Hair
Hair Plus,Hair
Hair Saloon,Hair
Hair by Stewarts,Hair
HairCrafters,Hair
HairMasters,Hair
Hajoca Plumbing Heating and Industrial,Home Improvement + Building Supplies
Hakim Optical,Optical
Halcyon Hospice,Senior Living
Hale and Hearty,Restaurant - Fast Casual
Half Price Books,Books
Half Shell Oyster House,Restaurant - Casual
Half-Moon Outfitters,Clothing - Family/Unisex
Hallensteins,Clothing - Family/Unisex
Hallman Lindsay Paints,Home Improvement + Building Supplies
Hallmark Cards,Gifts
Halloween Adventure,Seasonal
Halloween City,Seasonal
Halloween Club,Seasonal
Halloween Express,Seasonal
Halloween Megastore,Seasonal
Halo Burger,Restaurant - Fast Casual
Halpern Enterprises,Commercial Properties
Hammer & Nails,"Spa, Massage, + Esthetics"
Hampton Inn,Hotels
"Han-Dee Hugo's",Convenience Store
Hand and Stone,"Spa, Massage, + Esthetics"
Hand and Stone Canada,"Spa, Massage, + Esthetics"
"Handel's Home Made Ice Cream",Restaurant - Bakery/Desserts
Handle With Care Packaging Store,Shipping
Handy Mart,Convenience Store
Hanes,Clothing - Family/Unisex
Hangar 54 Pizza,Restaurant - Casual
Hanger Prosthetics & Orthotics,Misc. Health Supplies + Services
"Hangry Joe's Hot Chicken",Restaurant - Fast Casual
"Hank's Fine Furniture",Furnishings
Hanna Andersson,Clothing - Childrens
Hannaford Supermarkets,Grocery
Hannoush Jewelers,Jewelry
Happy Feet,Footwear
"Happy Joe's Pizza & Ice Cream",Restaurant - Casual
Happy Lemon,Restaurant - Coffee/Tea
Happy Nails & Spa,"Spa, Massage, + Esthetics"
